Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
pescatarian,coal,public,230,frequently,210,4,56,447.6
vegetarian,natural gas,walk/bicycle,114,rarely,9,3,98,378.4
omnivore,wood,private,138,never,2472,1,140,519.0
omnivore,wood,walk/bicycle,157,rarely,74,3,189,214.8
vegetarian,coal,private,266,very frequently,8457,1,63,948.6
vegetarian,wood,public,144,frequently,658,1,217,329.4
vegan,wood,private,56,rarely,5363,4,196,366.4
vegan,coal,walk/bicycle,59,very frequently,54,3,140,464.4
omnivore,wood,public,200,frequently,1376,3,126,498.8
pescatarian,wood,public,135,rarely,440,1,182,235.6
vegetarian,wood,public,146,never,1561,4,231,285.4
vegetarian,coal,walk/bicycle,111,very frequently,69,5,91,645.2
omnivore,coal,walk/bicycle,114,rarely,92,3,154,318.6
vegan,electricity,private,111,rarely,2893,6,161,346.4
pescatarian,natural gas,public,123,rarely,1989,6,147,348.6
vegetarian,electricity,public,225,very frequently,692,6,168,420.2
pescatarian,electricity,walk/bicycle,219,frequently,7,4,259,521.8
pescatarian,wood,public,104,rarely,948,6,161,313.0
vegan,electricity,private,126,very frequently,7622,2,105,1054.4
omnivore,wood,walk/bicycle,288,never,51,4,147,244.0
vegan,electricity,private,282,rarely,2237,6,35,260.0
pescatarian,wood,public,69,rarely,1804,1,91,204.8
omnivore,wood,walk/bicycle,110,never,85,3,119,141.2
vegetarian,coal,private,165,frequently,472,4,259,516.4
vegan,coal,private,62,very frequently,5737,1,175,856.8
pescatarian,electricity,walk/bicycle,94,rarely,88,6,140,161.4
vegan,electricity,public,259,frequently,558,4,189,398.2
vegetarian,electricity,public,67,rarely,752,3,196,363.4
pescatarian,wood,walk/bicycle,130,rarely,71,2,140,298.0
omnivore,electricity,public,258,frequently,1028,2,119,312.2
vegan,wood,public,189,frequently,1527,4,231,440.4
vegetarian,coal,walk/bicycle,262,frequently,88,5,273,404.8
